,Rank,Artist,Song,Year
1728,25,John Fred and His Playboy Band,Judy In Disguise (With Glasses),1968
1729,26,Classics IV,Spooky,1968
1730,27,Diana Ross and The Supremes,Love Child,1968
1731,28,Merrilee Rush,Angel Of The Morning,1968
1732,29,Georgie Fame,The Ballad Of Bonnie And Clyde,1968
1733,30,Mary Hopkin,Those Were The Days,1968
1734,31,Steppenwolf,Born To Be Wild,1968
1735,32,Intruders,Cowboys To Girls,1968
1736,33,1910 Fruitgum Company,Simon Says,1968
1737,34,Gary Puckett and The Union Gap,Lady Willpower,1968
1738,35,Rascals,A Beautiful Morning,1968
1739,36,Sergio Mendes and Brasil ’66,The Look Of Love,1968
1740,37,Johnny Nash,Hold Me Tight,1968
1741,38,Ohio Express,"Yummy, Yummy, Yummy",1968
1742,39,Crazy World Of Arthur Brown,Fire,1968
1743,40,Troggs,Love Is All Around,1968
1744,41,Gene and Debbe,Playboy,1968
1745,42,Dionne Warwick,(Theme From) Valley Of The Dolls,1968
1746,43,Mason Williams,Classical Gas,1968
1747,44,Clarence Carter,Slip Away,1968
1748,45,O’Kaysions,Girl Watcher,1968
1749,46,Aretha Franklin,(Sweet Sweet Baby) Since You’ve Been Gone,1968
1750,47,Lemon Pipers,Green Tambourine,1968
1751,48,1910 Fruitgum Company,"1, 2, 3, Red Light",1968
1752,49,Friend and Lover,Reach Out Of The Darkness,1968
1753,50,Rolling Stones,Jumpin’ Jack Flash,1968
1754,51,Richard Harris,MacArthur Park,1968
1755,52,Jose Feliciano,Light My Fire,1968
1756,53,People,I Love You,1968
1757,54,Percy Sledge,Take Time To Know Her,1968
1758,55,Status Quo,Pictures Of Matchstick Men,1968
1759,56,Blue Cheer,Summertime Blues,1968
1760,57,Marvin Gaye and Tammi Terrell,Ain’t Nothing Like The Real Thing,1968
1761,58,James Brown and The Famous Flames,I Got The Feelin’,1968
1762,59,Bee Gees,I’ve Gotta Get A Message To You,1968
1763,60,Beatles,Lady Madonna,1968
1764,61,Donovan,Hurdy Gurdy Man,1968
1765,62,Steppenwolf,Magic Carpet Ride,1968
1766,63,Fireballs,Bottle Of Wine,1968
1767,64,Dells,Stay In My Corner,1968
1768,65,Willie Mitchell,Soul Serenade,1968
1769,66,Tom Jones,Delilah,1968
1770,67,Human Beinz,Nobody But Me,1968
1771,68,Sam and Dave,I Thank You,1968
1772,69,Sergio Mendes and Brasil ’66,The Fool On The Hill,1968
1773,70,Eric Burdon and The Animals,Sky Pilot,1968
1774,71,Cowsills,Indian Lake,1968
1775,72,Tommy Boyce and Bobby Hart,I Wonder What She’s Doing Tonight,1968
1776,73,Gary Puckett and The Union Gap,Over You,1968
1777,74,Lettermen,Goin’ Out Of My Head / Can’t Take My Eyes Off You,1968
1778,75,Stevie Wonder,Shoo-Bee-Doo-Be-Doo-Da-Day,1968
1779,76,Irish Rovers,The Unicorn,1968
1780,77,Vanilla Fudge,(You Keep Me) Hangin’ On,1968
1781,78,Beatles,Revolution,1968
1782,79,Gary Puckett and The Union Gap,"Woman, Woman",1968
1783,80,Turtles,Elenore,1968
1784,81,Cream,White Room,1968
1785,82,Marvin Gaye and Tammi Terrell,You’re All I Need To Get By,1968
1786,83,Foundations,"Baby, Now That I’ve Found You",1968
1787,84,Sweet Inspirations,Sweet Inspiration,1968
1788,85,Smokey Robinson and The Miracles,If You Can Want,1968
1789,86,Mills Brothers,Cab Driver,1968
1790,87,Chambers Brothers,Time Has Come Today,1968
1791,88,Dionne Warwick,Do You Know The Way To San Jose,1968
1792,89,Simon and Garfunkel,Scarborough Fair / Canticle,1968
1793,90,James Brown and The Famous Flames,Say It Loud I’m Black And I’m Proud,1968
1794,91,Manfred Mann,The Mighty Quinn,1968
1795,92,Shorty Long,Here Comes The Judge,1968
1796,93,Aretha Franklin,I Say A Little Prayer,1968
1797,94,Aretha Franklin,Think,1968
1798,95,Gary Lewis and The Playboys,Sealed With A Kiss,1968
1799,96,Big Brother and The Holding Company,Piece Of My Heart,1968
1800,97,Creedence Clearwater Revival,Suzie Q.,1968
1801,98,American Breed,Bend Me Shape,1968
1802,99,Jerry Butler,"Hey, Western Union Man",1968
1803,100,Jerry Butler,Never Give You Up,1968
1804,1,Archies,"Sugar, Sugar",1969
1805,2,Fifth Dimension,Aquarius / Let The Sunshine In,1969
1806,3,Temptations,I Can’t Get Next To You,1969
1807,4,Rolling Stones,Honky Tonk Women,1969
1808,5,Sly and The Family Stone,Everyday People,1969
1809,6,Tommy Roe,Dizzy,1969
1810,7,Sly and The Family Stone,Hot Fun In The Summertime,1969
1811,8,Tom Jones,I’ll Never Fall In Love Again,1969
1812,9,Foundations,Build Me Up Buttercup,1969
1813,10,Tommy James and The Shondells,Crimson And Clover,1969
1814,11,Three Dog Night,One,1969
1815,12,Tommy James and The Shondells,Crystal Blue Persuasion,1969
1816,13,Cowsills,Hair,1969
1817,14,Marvin Gaye,Too Busy Thinking About My Baby,1969
1818,15,Henry Mancini and His Orch.,Love Theme From Romeo And Juliet,1969
1819,16,Youngbloods,Get Together,1969
1820,17,Friends Of Distinction,Grazin’ In The Grass,1969
1821,18,Elvis Presley,Suspicious Minds,1969
1822,19,Creedence Clearwater Revival,Proud Mary,1969
1823,20,Jr. Walker and The All Stars,What Does It Take (To Win Your Love),1969
1824,21,Isley Brothers,It’s Your Thing,1969
1825,22,Neil Diamond,Sweet Caroline,1969
1826,23,Oliver,Jean,1969
1827,24,Creedence Clearwater Revival,Bad Moon Rising,1969
1828,25,Beatles,Get Back,1969
1829,26,Zager and Evans,In The Year 2525,1969
1830,27,"Blood, Sweat and Tears",Spinning Wheel,1969
1831,28,Andy Kim,"Baby, I Love You",1969
1832,29,Friends Of Distinction,Going In Circles,1969
1833,30,Lettermen,Hurt So Bad,1969
1834,31,Creedence Clearwater Revival,Green River,1969
1835,32,Stevie Wonder,My Cherie Amour,1969
1836,33,Three Dog Night,Easy To Be Hard,1969
1837,34,Smith,Baby It’s You,1969
1838,35,Elvis Presley,In The Ghetto,1969
1839,36,Johnny Cash,A Boy Named Sue,1969
1840,37,Smokey Robinson and The Miracles,"Baby, Baby Don’t Cry",1969
1841,38,Jerry Butler,Only The Strong Survive,1969
1842,39,Zombies,Time Of The Season,1969
1843,40,Fifth Dimension,Wedding Bell Blues,1969
1844,41,Bobby Sherman,Little Woman,1969
1845,42,Mercy,Love (Can Make You Happy),1969
1846,43,Oliver,Good Morning Starshine,1969
1847,44,Guess Who,These Eyes,1969
1848,45,"Blood, Sweat and Tears",You’ve Made Me So Very Happy,1969
1849,46,Jackie DeShannon,Put A Little Love In Your Heart,1969
1850,47,Watts 103rd Street Rhythm Band,Do Your Thing,1969
1851,48,Grass Roots,I’d Wait A Million Years,1969
1852,49,Doors,Touch Me,1969
1853,50,Spiral Starecase,More Today Than Yesterday,1969
1854,51,Sammy Davis Jr.,I’ve Gotta Be Me,1969
1855,52,Bob Dylan,Lay Lady Lay,1969
1856,53,Donovan,Atlantis,1969
1857,54,Dennis Yost and The Classics IV,Traces,1969
1858,55,Mama Cass Elliot,It’s Getting Better,1969
1859,56,Jay and The Americans,This Magic Moment,1969
1860,57,Temptations,"Run Away Child, Running Wild",1969
1861,58,Ventures,Hawaii Five-O,1969
1862,59,Glen Campbell,Galveston,1969
1863,60,Lou Christie,I’m Gonna Make You Mine,1969
1864,61,Ray Stevens,Gitarzan,1969
1865,62,Tyrone Davis,Can I Change My Mind,1969
1866,63,Booker T and The MG’s,Time Is Tight,1969
1867,64,Dionne Warwick,This Girl’s In Love With You,1969
1868,65,Winstons,Color Him Father,1969
1869,66,"Sonny Charles and The Checkmates, Ltd.",Black Pearl,1969
1870,67,1910 Fruitgum Company,Indian Giver,1969
1871,68,James Brown,Mother Popcorn (Part I),1969
1872,69,Edwin Starr,Twenty-five Miles,1969
1873,70,New Colony Six,Things I’d Like To Say,1969
1874,71,Motherlode,When I Die,1969
1875,72,Marvin Gaye,That’s The Way Love Is,1969
1876,73,Nilsson,Everybody’s Talkin’,1969
1877,74,Brooklyn Bridge,Worst That Could Happen,1969
1878,75,Joe Simon,Chokin’ Kind,1969
1879,76,Flying Machine,Smile A Little Smile For Me,1969
1880,77,Tony Joe White,Polk Salad Annie,1969
1881,78,Kenny Rogers and The First Edition,"Ruby, Don’t Take Your Love To Town",1969
1882,79,Joe South,Games People Play,1969
1883,80,Turtles,You Showed Me,1969
1884,81,Cuff Links,Tracy,1969
1885,82,Dells,"Oh, What A Night",1969
1886,83,Beatles,Something,1969
1887,84,Gary Puckett and The Union Gap,This Girl Is A Woman Now,1969
1888,85,Beatles,Come Together,1969
1889,86,Seger System,Ramblin’ Gamblin’ Man Bob,1969
1890,87,Diana Ross and The Supremes,I’m Gonna Make You Love Me,1969
1891,88,Marvin Gaye,I Heard It Through The Grapevine,1969
1892,89,Crazy Elephant,Gimme Gimme Good Lovin’,1969
1893,90,Booker T and The MG’s,Hang ‘Em High,1969
1894,91,Lou Rawls,Your Good Thing (Is About To End),1969
1895,92,Originals,Baby I’m For Real,1969
1896,93,Edwin Hawkins Singers,Oh Happy Day,1969
1897,94,Tom Jones,Love Me Tonight,1969
1898,95,Paul Revere and The Raiders,"Mr. Sun, Mr. Moon",1969
1899,96,Guess Who,Laughing,1969
1900,97,David Ruffin,My Whole World Ended (The Moment You Left Me),1969
1901,98,Box Tops,Soul Deep,1969
1902,99,B.J. Thomas,Hooked On A Feeling,1969
1903,100,Box Tops,Sweet Cream Ladies,1969
1904,1,Simon and Garfunkel,Bridge Over Troubled Water,1970
1905,2,Carpenters,(They Long To Be) Close To You,1970
1906,3,Guess Who,American Woman / No Sugar Tonight,1970
1907,4,B.J. Thomas,Raindrops Keep Fallin’ On My Head,1970
1908,5,Edwin Starr,War,1970
1909,6,Diana Ross,Ain’t No Mountain High Enough,1970
1910,7,Jackson 5,I’ll Be There,1970
1911,8,Rare Earth,Get Ready,1970
1912,9,Beatles,Let It Be,1970
1913,10,Freda Payne,Band Of Gold,1970
1914,11,Three Dog Night,Mama Told Me (Not To Come),1970
1915,12,Ray Stevens,Everything Is Beautiful,1970
1916,13,Bread,Make It With You,1970
1917,14,Vanity Fair,Hitchin’ A Ride,1970
1918,15,Jackson 5,ABC,1970
1919,16,Jackson 5,The Love You Save / I Found That Girl,1970
1920,17,Neil Diamond,Cracklin’ Rose,1970
1921,18,Dawn,Candida,1970
1922,19,Sly and The Family Stone,Thank You (Fallettin Me Be Mice Elf Again) / Everybody Is A Star,1970
1923,20,Eric Burdon and War,Spill The Wine,1970
1924,21,Five Stairsteps and Cubie,O-o-h Child / Dear Prudence,1970
1925,22,Norman Greenbaum,Spirit In The Sky,1970
1926,23,Melanie and The Edwin Hawkins Singers,Lay Down (Candles In The Rain),1970
1927,24,Temptations,Ball Of Confusion (That’s What The World Is Today),1970
1928,25,Moments,Love On A Two Way Street,1970
1929,26,Poppy Family,Which Way You Goin’ Billy?,1970
1930,27,Free,All Right Now,1970
1931,28,Jackson 5,I Want You Back,1970
1932,29,Bobby Sherman,"Julie, Do Ya Love Me",1970
1933,30,Sugarloaf,Green-eyed Lady,1970
1934,31,Stevie Wonder,"Signed Sealed, Delivered (I’m Yours)",1970
1935,32,Blues Image,Ride Captain Ride,1970
1936,33,Shocking Blue,Venus,1970
1937,34,John Ono Lennon,Instant Karma (We All Shine On),1970
1938,35,Clarence Carter,Patches,1970
1939,36,Creedence Clearwater Revival,Lookin’ Out My Back Door / Long As I Can See The Light,1970
1940,37,Brook Benton,Rainy Night In Georgia,1970
1941,38,Kenny Rogers and The First Edition,Something’s Burning,1970
1942,39,Chairmen Of The Board,Give Me Just A Little More Time,1970
1943,40,Edison Lighthouse,Love Grows (Where My Rosemary Goes),1970
1944,41,Beatles,The Long And Winding Road / For You Blue,1970
1945,42,Anne Murray,Snowbird,1970
1946,43,Marmalade,Reflections Of My Life,1970
1947,44,Eddie Holman,Hey There Lonely Girl,1970
1948,45,Jaggerz,The Rapper,1970
1949,46,Hollies,"He Ain’t Heavy, He’s My Brother",1970
1950,47,Alive and Kicking,"Tighter, Tighter",1970
1951,48,Badfinger,Come And Get It,1970
1952,49,Simon and Garfunkel,Cecelia,1970
1953,50,Charles Wright and The Watts 103rd Street Rhythm Band,Love Land,1970
1954,51,Tyrone Davis,Turn Back The Hands Of Time,1970
1955,52,Kinks,Lola,1970
1956,53,Mungo Jerry,In The Summertime,1970
1957,54,R. Dean Taylor,Indiana Wants Me,1970
1958,55,Rare Earth,(I Know) I’m Losing You,1970
1959,56,Bobby Sherman,"Easy Come, Easy Go",1970
1960,57,Charles Wright and The Watts 103rd Street Rhythm Band,Express Yourself,1970
1961,58,Four Tops,Still Water (Love),1970
1962,59,Chicago,Make Me Smile,1970
1963,60,Frijid Pink,House Of The Rising Sun,1970
1964,61,Chicago,25 Or 6 To 4,1970
1965,62,White Plains,My Baby Loves Lovin’,1970
1966,63,Friends Of Distinction,Love Or Let Me Be Lonely,1970
1967,64,Brotherhood Of Man,United We Stand,1970
1968,65,Carpenters,We’ve Only Just Begun,1970
1969,66,Mark Lindsay,Arizona,1970
1970,67,James Taylor,Fire And Rain,1970
1971,68,Gene Chandler,Groovy Situation,1970
1972,69,Santana,Evil Ways,1970
1973,70,Guess Who,No Time,1970
1974,71,Delfonics,Didn’t I (Blow Your Mind This Time),1970
1975,72,Elvis Presley,The Wonder Of You / Mama Liked The Roses,1970
1976,73,Creedence Clearwater Revival,Up Around The Bend / Run Through The Jungle,1970
1977,74,Ronnie Dyson,(If You Let Me Make Love To You Then) Why Can’t I Touch You,1970
1978,75,B.J. Thomas,I Just Can’t Help Believing,1970
1979,76,Spinners,It’s A Shame,1970
1980,77,Bobbi Martin,For The Love Of Him,1970
1981,78,Mountain,Mississippi Queen,1970
1982,79,Ike and Tina Turner,I Want To Take You Higher,1970
1983,80,Joe Cocker,The Letter,1970
1984,81,Tee Set,Ma Belle Amie,1970
1985,82,Originals,The Bells,1970
1986,83,Christie,Yellow River,1970
1987,84,100 Proof Aged In Soul,Somebody’s Been Sleeping,1970
1988,85,Ides Of March,Vehicle,1970
1989,86,Pipkins,Gimme Dat Ding,1970
1990,87,Robin Mcnamara,Lay A Little Lovin’ On Me,1970
1991,88,Supremes,Up The Ladder To The Roof,1970
1992,89,Creedence Clearwater Revival,Travelin’ Band / Who’ll Stop The Rain,1970
1993,90,Sandpipers,Come Saturday Morning,1970
1994,91,Temptations,Psychedelic Shack,1970
1995,92,Tom Jones,Without Love (There Is Nothing),1970
1996,93,Pacific Gas and Electric,Are You Ready?,1970
1997,94,"Crosby, Stills, Nash and Young",Woodstock,1970
1998,95,Dionne Warwick,I’ll Never Fall In Love Again,1970
1999,96,New Seekers,Look What They’ve Done To My Song Ma,1970
2000,97,Joe South,Walk A Mile In My Shoes,1970
2001,98,B.B. King,The Thrill Is Gone,1970
2002,99,Glen Campbell,It’s Only Make Believe,1970
2003,100,Aretha Franklin,Call Me,1970
2004,1,Three Dog Night,Joy To The World,1971
2005,2,Rod Stewart,Maggie May / (Find A) Reason To Believe,1971
2006,3,Carole King,It’s Too Late / I Feel The Earth Move,1971
2007,4,Osmonds,One Bad Apple,1971
2008,5,Bee Gees,How Can You Mend A Broken Heart,1971
2009,6,Raiders,Indian Reservation,1971
2010,7,Donny Osmond,Go Away Little Girl,1971
2011,8,John Denver,"Take Me Home, Country Roads",1971
2012,9,Temptations,Just My Imagination (Running Away With Me),1971
2013,10,Dawn,Knock Three Times,1971
2014,11,Janis Joplin,Me And Bobby McGee,1971
2015,12,Al Green,Tired Of Being Alone,1971
2016,13,Honey Cone,Want Ads,1971
2017,14,Undisputed Truth,Smiling Faces Sometimes,1971
2018,15,Cornelius Brothers and Sister Rose,Treat Her Like A Lady,1971
2019,16,James Taylor,You’ve Got A Friend,1971
2020,17,Jean Knight,Mr. Big Stuff,1971
2021,18,Rolling Stones,Brown Sugar,1971
2022,19,Lee Michaels,Do You Know What I Mean,1971
2023,20,Joan Baez,The Night They Drove Old Dixie Down,1971
2024,21,Marvin Gaye,What’s Going On,1971
2025,22,Paul and Linda McCartney,Uncle Albert-Admiral Halsey,1971
2026,23,Bill Withers,Ain’t No Sunshine,1971
2027,24,Five Man Electrical Band,Signs,1971
2028,25,Tom Jones,She’s A Lady,1971
2029,26,Murray Head and The Trinidad Singers,Superstar,1971
2030,27,Free Movement,I Found Someone Of My Own,1971
2031,28,Jerry Reed,Amos Moses,1971
2032,29,Grass Roots,Temptation Eyes,1971
2033,30,Carpenters,Superstar,1971
2034,31,George Harrison,My Sweet Lord / Isn’t It A Pity,1971
2035,32,Donny Osmond,Sweet And Innocent,1971
2036,33,Ocean,Put Your Hand In The Hand,1971
2037,34,Daddy Dewdrop,Chick-a-boom,1971
2038,35,Carpenters,For All We Know,1971
2039,36,Sammi Smith,Help Me Make It Through The Night,1971
2040,37,Carpenters,Rainy Days And Mondays,1971
2041,38,Gordon Lightfoot,If You Could Read My Mind,1971
2042,39,Cher,"Gypsy, Tramps And Thieves",1971
2043,40,Jackson 5,Never Can Say Goodbye,1971
2044,41,Lynn Anderson,Rose Garden,1971
2045,42,"Hamilton, Joe Frank and Reynolds",Don’t Pull Your Love,1971
2046,43,Ringo Starr,It Don’t Come Easy,1971
2047,44,Nitty Gritty Dirt Band,Mr. Bojangles,1971
2048,45,Fuzz,I Love You Foe All Seasons,1971
2049,46,Dramatics,Whatcha See Is Whatcha Get,1971
2050,47,Carly Simon,That’s The Way I’ve Always Heard It Should Be,1971
2051,48,Stevie Wonder,If You Really Love Me,1971
2052,49,Aretha Franklin,Spanish Harlem,1971
2053,50,Helen Reddy,I Don’t Know How To Love Him,1971
2054,51,Osmonds,Yo-yo,1971
2055,52,Aretha Franklin,Bridge Over Troubled Water,1971
2056,53,Partridge Family,Doesn’t Somebody Want To Be Wanted,1971
2057,54,Tommy James,Draggin’ The Line,1971
2058,55,Ike and Tina Turner,Proud Mary,1971
2059,56,Chicago,Beginnings / Color My World,1971
2060,57,Bells,Stay Awhile,1971
2061,58,Stampeders,Sweet City Woman,1971
2062,59,Lobo,Me And You And A Dog Named Boo,1971
2063,60,Paul McCartney,"Another Day / Oh Woman, Oh Why",1971
2064,61,Bread,If,1971
2065,62,Marvin Gaye,Mercy Mercy Me (The Ecology),1971
2066,63,Brewer and Shipley,One Toke Over The Line,1971
2067,64,8th Day,She’s Not Just Another Woman,1971
2068,65,Freda Payne,Bring The Boys Home,1971
2069,66,Rare Earth,I Just Want To Celebrate,1971
2070,67,Delaney and Bonnie and Friends,Never Ending Song Of Love,1971
2071,68,Freddy Hart,Easy Loving,1971
2072,69,Three Dog Night,Liar,1971
2073,70,Honey Cone,Stick-up,1971
2074,71,Mac and Katie Kissoon,Chirpy Chirpy Cheep Cheep,1971
2075,72,Andy Williams,Love Story (Where Do I Begin),1971
2076,73,Cat Stevens,Wild World,1971
2077,74,Jerry Reed,"When You’re Hot, You’re Hot",1971
2078,75,Beginning Of The End,Funky Nassau,1971
2079,76,Olivia Newton-John,If Not For You,1971
2080,77,King Floyd,Groove Me,1971
2081,78,Bobby Goldsboro,Watching Scotty Grow,1971
2082,79,Matthews’ Southern Comfort,Woodstock,1971
2083,80,Judy Collins,Amazing Grace,1971
2084,81,Dave Edmunds,I Hear You Knocking,1971
2085,82,Bee Gees,Lonely Days,1971
2086,83,Fortunes,Here Comes That Rainy Day Feeling Again,1971
2087,84,Who,Won’t Get Fooled Again,1971
2088,85,Denise Lasalle,Trapped By A Thing Called Love,1971
2089,86,Jackson 5,Mama’s Pearl,1971
2090,87,Buoys,Timothy,1971
2091,88,Partridge Family,I Woke Up In Love This Morning,1971
2092,89,Isaac Hayes,Theme From “Shaft”,1971
2093,90,Gladys Knight and The Pips,If I Were Your Woman,1971
2094,91,Neil Diamond,I Am..I Said,1971
2095,92,Paul Stookey,Wedding Song (There Is Love),1971
2096,93,Wilson Pickett,"Don’t Knock My Love, Pt. 1",1971
2097,94,Doors,Love Her Madly,1971
2098,95,Richie Havens,Here Comes The Sun,1971
2099,96,Wadsworth Mansion,Sweet Mary,1971
2100,97,Brenda and The Tabulations,Right On The Tip Of My Tongue,1971
2101,98,Fifth Dimension,One Less Bell To Answer,1971
2102,99,Doors,Riders On The Storm,1971
2103,100,Perry Como,It’s Impossible,1971
2104,1,Roberta Flack,The First Time Ever I Saw Your Face,1972
2105,2,Gilbert O’Sullivan,Alone Again (Naturally),1972
2106,3,Don McLean,American Pie,1972
2107,4,Nilsson,Without You,1972
2108,5,Sammy Davis Jr.,Candy Man,1972
2109,6,Joe Tex,I Gotcha,1972
2110,7,Bill Withers,Lean On Me,1972
2111,8,Mac Davis,Baby Don’t Get Hooked On Me,1972
2112,9,Melanie,Brand New Key,1972
2113,10,Wayne Newton,Daddy Dont You Walk So Fast,1972
2114,11,Al Green,Let’s Stay Together,1972
2115,12,Looking Glass,Brandy (You’re A Fine Girl),1972
2116,13,Chi-Lites,Oh Girl,1972
2117,14,Gallery,Nice To Be With You,1972
2118,15,Chuck Berry,My Ding-A-Ling,1972
2119,16,Luther Ingram,If Loving You Is Wrong I Don’t Want To Be Right,1972
2120,17,Neil Young,Heart Of Gold,1972
2121,18,Stylistics,"Betcha By Golly, Wow",1972
2122,19,Staple Singers,I’ll Take You There,1972
2123,20,Michael Jackson,Ben,1972
2124,21,Robert John,The Lion Sleeps Tonight,1972
